energy,danceability,tempo,valence,loudness,acousticness,speechiness,popularity
0.353,0.497,143.916,0.169,-9.641,0.125,0.108,0
0.882,0.702,129.981,0.386,-3.706,0.00863,0.0346,16
0.806,0.47,93.853,0.403,-4.1,0.0271,0.0328,55
0.927,0.547,110.095,0.862,-3.02,0.273,0.07,42
0.273,0.282,91.577,0.26,-11.805,0.935,0.0469,54
0.758,0.523,135.437,0.766,-9.81,0.133,0.0403,73
0.724,0.784,93.984,0.401,-6.739,0.0775,0.0503,14
0.936,0.56,112.96,0.371,-5.835,0.00832,0.0439,0
0.933,0.486,160.009,0.102,-2.758,0.00189,0.0378,0
0.534,0.671,84.977,0.418,-8.15,0.103,0.204,43
0.735,0.686,171.355,0.0596,-4.616,0.00921,0.264,79
0.737,0.429,174.987,0.297,-4.788,0.0216,0.0431,50
0.902,0.574,146.262,0.936,-7.912,0.104,0.0319,45
0.508,0.539,101.358,0.227,-6.05,0.727,0.0288,1
0.691,0.855,121.472,0.647,-6.51,0.144,0.0514,70
0.866,0.788,128.047,0.575,-10.566,0.0398,0.0734,10
0.178,0.785,73.147,0.461,-17.52,0.785,0.204,37
0.719,0.713,119.993,0.24,-6.972,0.164,0.0455,66
0.438,0.54,89.848,0.777,-8.409,0.815,0.0765,43
0.905,0.227,199.798,0.182,-5.104,3.27e-05,0.0788,56
0.556,0.586,167.018,0.517,-7.639,0.00655,0.0592,0
0.465,0.9,104.007,0.731,-5.939,0.702,0.118,50
0.732,0.458,135.865,0.95,-6.356,0.735,0.0446,44
0.762,0.679,105.407,0.511,-4.253,0.00469,0.0316,2
0.875,0.806,125.063,0.917,-3.817,0.0838,0.088,75
0.991,0.37,185.215,0.068,-2.267,0.0139,0.331,23
0.39,0.712,119.981,0.275,-11.013,0.607,0.0314,43
0.511,0.236,80.973,0.227,-10.788,0.407,0.0442,72
0.534,0.695,82.054,0.533,-10.166,0.494,0.049,42
0.593,0.515,94.467,0.153,-4.801,0.653,0.0322,81
0.768,0.535,156.014,0.514,-4.554,0.00736,0.0577,61
0.746,0.63,102.954,0.34,-6.551,0.175,0.0398,60
0.318,0.614,119.959,0.112,-12.695,0.896,0.0478,85
0.83,0.77,126.089,0.98,-5.472,0.0562,0.0326,60
0.755,0.548,105.026,0.622,-7.252,0.00141,0.0251,36
0.202,0.389,83.019,0.187,-15.121,0.887,0.0375,59
0.75,0.859,98.691,0.857,-8.325,0.0193,0.303,71
0.91,0.454,125.116,0.629,-7.766,0.0866,0.0448,84
0.752,0.809,92.14,0.858,-3.638,0.114,0.206,74
0.368,0.639,89.94,0.415,-14.096,0.245,0.048,62
0.975,0.45,183.055,0.565,-1.674,0.00988,0.119,28
0.925,0.139,85.949,0.00271,-32.267,0.131,0.0474,25
0.464,0.82,109.374,0.872,-8.45,0.156,0.0481,64
0.787,0.816,99.957,0.841,-2.405,0.153,0.0622,70
0.442,0.513,81.201,0.243,-13.529,0.00731,0.0343,77
0.61,0.679,123.978,0.554,-10.936,0.585,0.0305,76
0.855,0.666,125.639,0.803,-5.051,0.179,0.0295,84
0.767,0.58,151.845,0.776,-4.174,0.313,0.0557,67
0.529,0.438,136.147,0.395,-9.224,0.0113,0.0324,63
0.692,0.552,144.666,0.543,-5.54,0.339,0.0593,60
0.877,0.592,117.106,0.712,-4.05,0.0095,0.0502,64
0.549,0.624,165.991,0.115,-7.4,0.109,0.0329,63
0.557,0.707,113.023,0.124,-8.848,0.185,0.0356,54
0.986,0.486,180.085,0.501,-4.71,0.000662,0.0818,70
0.542,0.665,97.975,0.587,-8.323,0.123,0.033,76
0.845,0.369,78.532,0.782,-3.449,0.0493,0.0611,71
0.574,0.59,82.047,0.854,-8.758,0.78,0.033,46
0.267,0.62,52.67,0.428,-13.317,0.754,0.061,12
0.945,0.653,126.093,0.326,-2.634,0.00561,0.096,68
0.657,0.446,152.132,0.215,-4.494,0.0022,0.0262,67
0.913,0.417,144.591,0.439,-6.049,0.00248,0.0441,62
0.522,0.668,107.979,0.718,-7.42,0.696,0.0311,0
0.466,0.58,139.973,0.279,-9.276,0.011,0.0384,52
0.822,0.465,89.761,0.405,-4.826,0.136,0.066,66
0.453,0.555,120.779,0.502,-7.498,0.133,0.0354,22
0.759,0.643,191.959,0.46,-4.693,0.00258,0.156,0
0.75,0.803,106.0,0.628,-4.67,0.0233,0.0551,0
0.356,0.729,95.026,0.392,-13.743,0.0916,0.0347,61
0.854,0.952,116.942,0.638,-8.304,0.0813,0.195,10
0.996,0.411,187.933,0.762,-2.392,0.00351,0.0946,30
0.877,0.74,125.033,0.377,-8.357,0.372,0.0497,60
0.486,0.703,85.873,0.188,-9.182,0.524,0.336,37
0.074,0.522,135.298,0.342,-23.625,0.929,0.0598,65
0.978,0.547,94.703,0.647,-2.732,0.0626,0.254,57
0.747,0.675,121.033,0.159,-4.742,0.0159,0.0406,60
0.423,0.68,85.042,0.686,-6.279,0.597,0.0321,60
0.682,0.496,128.135,0.952,-10.56,0.803,0.0328,24
0.26,0.826,110.079,0.245,-15.202,0.538,0.168,61
0.309,0.444,104.745,0.0875,-10.956,0.795,0.062,72
0.766,0.957,128.019,0.515,-4.567,0.108,0.223,63
0.981,0.233,145.009,0.17,-5.769,0.000282,0.105,0
0.968,0.654,171.89,0.913,-3.286,0.136,0.118,40
0.781,0.432,139.432,0.197,-4.038,0.041,0.0567,74
0.443,0.624,97.857,0.569,-7.544,0.799,0.3,66
0.649,0.765,124.043,0.251,-6.16,0.00288,0.104,37
0.313,0.576,75.775,0.254,-6.489,0.853,0.0265,27
0.918,0.504,92.031,0.539,-3.463,0.00164,0.0517,68
0.949,0.699,126.07,0.186,-2.994,0.00872,0.0739,60
0.716,0.722,171.96,0.626,-4.089,0.132,0.0696,66
0.934,0.463,168.005,0.649,-3.566,0.0223,0.141,60
0.995,0.75,132.052,0.716,-6.776,0.229,0.0778,13
0.559,0.772,100.056,0.794,-8.735,0.556,0.124,52
0.975,0.506,119.946,0.102,-4.609,4.31e-06,0.0763,0
0.739,0.496,132.41,0.378,-7.193,0.0211,0.0415,79
0.596,0.665,110.055,0.644,-6.969,0.293,0.0278,70
0.7,0.694,127.965,0.261,-5.53,0.191,0.0488,71
0.269,0.51,98.006,0.26,-18.953,0.957,0.0404,45
0.708,0.886,109.976,0.965,-5.915,0.107,0.0911,5
0.912,0.416,115.611,0.352,-5.188,4.42e-05,0.133,13
0.635,0.587,96.519,0.591,-5.47,0.0353,0.0377,60
0.84,0.783,95.001,0.839,-3.416,0.174,0.051,72
0.607,0.386,147.207,0.532,-7.7,0.0112,0.0261,74
0.914,0.522,137.939,0.0364,-8.285,0.000164,0.0379,76
0.381,0.731,113.039,0.604,-7.261,0.487,0.0276,29
0.515,0.457,74.984,0.222,-4.31,0.358,0.0261,69
0.537,0.682,124.574,0.963,-10.254,0.218,0.0323,70
0.902,0.615,135.46,0.909,-7.232,0.464,0.0331,61
0.659,0.692,90.023,0.26,-4.909,0.00832,0.0585,47
0.626,0.39,80.601,0.403,-7.252,0.372,0.0561,37
0.582,0.707,115.017,0.272,-6.308,0.0153,0.0268,60
0.684,0.665,73.986,0.927,-7.049,0.247,0.106,70
0.123,0.516,81.945,0.384,-14.693,0.863,0.0295,21
0.0549,0.187,71.308,0.0386,-29.833,0.986,0.0472,60
0.956,0.437,192.076,0.437,-5.064,3.37e-05,0.0635,23
0.655,0.468,144.045,0.222,-6.384,0.0149,0.0296,64
0.782,0.498,103.077,0.129,-6.231,0.0922,0.0783,54
0.906,0.711,125.916,0.824,-2.671,0.00952,0.0284,70
0.611,0.454,143.862,0.109,-10.152,0.00192,0.0531,49
0.625,0.519,120.103,0.21,-5.909,0.349,0.0482,77
0.797,0.677,90.012,0.761,-3.817,0.51,0.0266,11
0.573,0.664,76.023,0.566,-6.519,0.613,0.0277,79
0.702,0.561,149.998,0.592,-6.965,0.0172,0.0311,8
0.95,0.325,175.317,0.612,-5.906,0.000155,0.0554,31
0.705,0.779,140.005,0.196,-5.891,0.00471,0.163,3
0.646,0.704,141.87,0.64,-6.658,0.0104,0.0596,70
0.63,0.32,203.443,0.323,-7.019,0.192,0.0493,62
0.33,0.401,138.711,0.332,-9.681,0.86,0.0304,39
0.423,0.63,90.019,0.319,-7.705,0.507,0.0318,65
0.587,0.696,104.984,0.422,-6.801,0.678,0.0353,60
0.583,0.257,160.127,0.217,-8.185,0.603,0.0429,64
0.57,0.409,128.657,0.336,-10.54,0.687,0.0711,0
0.861,0.245,91.056,0.483,-8.728,0.000256,0.0415,51
0.843,0.486,90.016,0.412,-6.085,7.21e-05,0.0635,0
0.21,0.405,100.577,0.174,-13.214,0.584,0.0279,70
0.848,0.602,129.02,0.469,-4.404,0.00423,0.048,34
0.969,0.402,173.847,0.262,-2.825,9.14e-05,0.181,72
0.346,0.672,123.76,0.561,-9.903,0.995,0.092,16
0.928,0.442,169.847,0.601,-4.096,0.0257,0.207,64
